symbol,analysis_date,analyst_ratings_buy,analyst_ratings_hold,analyst_ratings_sell,analyst_ratings_strong_sell,analyst_ratings_strong_buy,rsi,macd,volatility,sentiment_score,beta
AAPL,2023-08-01,21,6,0,0,11,65.3,1.5,0.02,0.8,1.2
MSFT,2023-08-01,18,7,1,0,9,58.7,1.2,0.015,0.7,0.9
TSLA,2023-08-01,25,4,0,1,15,70.1,2.3,0.04,0.85,1.5
NVDA,2023-08-01,23,5,0,0,12,60.2,1.8,0.03,0.75,1.3
AMZN,2023-08-01,19,6,1,0,8,62.4,1.6,0.018,0.78,1.1
GOOG,2023-08-01,20,6,0,0,10,64.5,1.7,0.022,0.82,1.0
META,2023-08-01,22,5,1,0,9,67.2,2.0,0.025,0.79,1.4
NFLX,2023-08-01,17,7,2,1,6,55.8,1.0,0.014,0.7,1.1
AMD,2023-08-01,24,4,1,0,11,69.3,2.2,0.033,0.81,1.6
INTC,2023-08-01,15,9,2,1,5,50.2,0.8,0.012,0.65,0.8
BA,2023-08-01,16,8,3,2,6,52.1,0.9,0.014,0.66,0.9
DIS,2023-08-01,14,10,3,1,4,48.7,0.7,0.011,0.63,0.7
PYPL,2023-08-01,13,11,4,2,3,45.2,0.6,0.009,0.58,0.8
CRM,2023-08-01,22,5,0,0,11,66.9,1.9,0.027,0.76,1.3
V,2023-08-01,20,7,0,0,10,63.5,1.4,0.021,0.74,1.0
MA,2023-08-01,21,6,1,0,9,64.1,1.5,0.023,0.77,1.1
JPM,2023-08-01,18,7,2,1,8,59.8,1.3,0.016,0.72,0.9
WMT,2023-08-01,19,6,1,0,10,61.4,1.6,0.02,0.75,0.8
PEP,2023-08-01,17,8,2,1,6,56.3,1.2,0.013,0.68,0.7
KO,2023-08-01,15,9,3,2,5,52.8,0.9,0.011,0.64,0.6
T,2023-08-01,12,11,4,3,2,42.9,0.5,0.007,0.57,0.5
XOM,2023-08-01,18,7,1,1,8,60.5,1.3,0.017,0.71,0.9
CVX,2023-08-01,16,8,2,1,7,53.9,1.1,0.015,0.7,0.8
UNH,2023-08-01,21,6,0,0,10,65.0,1.5,0.022,0.79,1.1